Symbol,Name,1D_Chart,Price_intraday,Change,Change_pct
^CRTC-EU,XTRACKERS US NATIONAL CRITICAL,https://finance.yahoo.com/chart/%5ECRTC-EU,0.53,+0.42,+381.82%
^CLDL-EU,DIREXION DAILY CLOUD COMPUTING,https://finance.yahoo.com/chart/%5ECLDL-EU,593.15,+469.39,+379.27%
^FDV-EU,FEDERATED HERMES U.S. STRATEGIC,https://finance.yahoo.com/chart/%5EFDV-EU,173.45,+136.04,+363.65%
^HYLG-EU,GLOBAL X HEALTH CARE COVERED CA,https://finance.yahoo.com/chart/%5EHYLG-EU,"1,704.54","+2,374.36",+354.48%
^COPY-TC,"TWEEDY, BROWNE INSIDER + VALUE",https://finance.yahoo.com/chart/%5ECOPY-TC,"42,492.47","+33,127.93",+353.76%
^AIS-TC,VISTASHARES ARTIFICIAL INTELLIG,https://finance.yahoo.com/chart/%5EAIS-TC,"568,805.38","+439,971.03",+341.50%
^ROUS-EU,Hartford Multifactor US Equity,https://finance.yahoo.com/chart/%5EROUS-EU,42.92,+60.92,+338.44%
^VICE-EU,ADVISORSHARES VICE ETF ESTIMATE,https://finance.yahoo.com/chart/%5EVICE-EU,"4,547.38","+3,463.53",+319.56%
^YMAG-TC,YIELDMAX MAGNIFICENT 7 FUND OF,https://finance.yahoo.com/chart/%5EYMAG-TC,"1,723.38","+1,312.43",+319.36%
^TCHP-TC,T. Rowe Price Blue Chip Growth,https://finance.yahoo.com/chart/%5ETCHP-TC,134.83,+199.08,+309.85%
^MARO-EU,YIELDMAX MARA OPTION INCOME STR,https://finance.yahoo.com/chart/%5EMARO-EU,"316,455.25","+469,125.00",+307.28%
^EPI-EU,WisdomTree India Earnings Fund,https://finance.yahoo.com/chart/%5EEPI-EU,536.52,+799.16,+304.28%
^ERX-EU,Direxion Daily Energy Bull 2X S,https://finance.yahoo.com/chart/%5EERX-EU,774.63,"+1,178.08",+292.00%
^ISHP-EU,FIRST TRUST S-NETWORK E-COMMERC,https://finance.yahoo.com/chart/%5EISHP-EU,"1,603.38","+1,194.27",+291.92%
^TEQI-TC,T. Rowe Price Equity Income ETF,https://finance.yahoo.com/chart/%5ETEQI-TC,"5,295.90","+3,938.14",+290.05%
^XAR-EU,SPDR S&P Aerospace and Defens,https://finance.yahoo.com/chart/%5EXAR-EU,"1,011.95",+751.60,+288.69%
^DIPS-EU,-,https://finance.yahoo.com/chart/%5EDIPS-EU,"21,913.90","+34,001.53",+281.29%
^GABF-TC,GABELLI FINANCIAL SERVICES OPPO,https://finance.yahoo.com/chart/%5EGABF-TC,"24,713.43","+18,119.42",+274.79%
^EURL-EU,Direxion Daily FTSE Europe Bull,https://finance.yahoo.com/chart/%5EEURL-EU,31.45,+49.93,+270.18%
^WANT-EU,Direxion Daily Consumer Discret,https://finance.yahoo.com/chart/%5EWANT-EU,"4,887.67","+3,557.31",+267.39%
^IQSI-EU,NYLI CANDRIAM INTERNATIONAL EQU,https://finance.yahoo.com/chart/%5EIQSI-EU,0.11,+0.08,+266.67%
^SNPE-EU,Xtrackers S&P 500 ESG ETF Estim,https://finance.yahoo.com/chart/%5ESNPE-EU,2.52,+1.83,+265.22%
^DPST-EU,Direxion Shares ETF Trust Direx,https://finance.yahoo.com/chart/%5EDPST-EU,327.86,+237.40,+262.44%
^PSK-EU,SPDR Wells Fargo Preferred Stoc,https://finance.yahoo.com/chart/%5EPSK-EU,220.13,+356.55,+261.36%
^NSCS-TC,NUVEEN SMALL CAP SELECT ETF TOT,https://finance.yahoo.com/chart/%5ENSCS-TC,283.37,+204.21,+257.97%
^FBT-EU,First Trust Amex Biotech Index,https://finance.yahoo.com/chart/%5EFBT-EU,"2,067.53","+3,417.28",+253.18%
^GSJY-TC,Goldman Sachs ETF Trust Goldman,https://finance.yahoo.com/chart/%5EGSJY-TC,475.20,+340.28,+252.21%
^AVLV-TC,AVANTIS U.S. LARGE CAP VALUE ET,https://finance.yahoo.com/chart/%5EAVLV-TC,"19,100.12","+13,670.07",+251.75%
^MARO-TC,YIELDMAX MARA OPTION INCOME STR,https://finance.yahoo.com/chart/%5EMARO-TC,"8,697.89","+14,594.33",+247.51%
^ARKF-TC,ARK Fintech Innovation ETF Tota,https://finance.yahoo.com/chart/%5EARKF-TC,"2,269.27","+1,612.09",+245.30%
^VIOG-EU,Vanguard S&P Small Cap 600 Grow,https://finance.yahoo.com/chart/%5EVIOG-EU,240.83,+171.03,+245.06%
^NUGO-TC,NUVEEN GROWTH OPPORTUNITIES ETF,https://finance.yahoo.com/chart/%5ENUGO-TC,"1,983.85","+1,400.87",+240.29%
