Symbol,company_url,Name,Link,Price_intraday,Change,Change_pct,Volume,Avg_Vol(3M),Market_Cap,P/E_Ratio(TTM)
MSD,https://finance.yahoo.com/quote/MSD/,"Morgan Stanley Emerging Markets Debt Fund, Inc.",https://finance.yahoo.com/chart/MSD,7.94,-0.02,-0.25%,"89,304","81,472",160.311M,+8.49
SRHYY,https://finance.yahoo.com/quote/SRHYY/,Syrah Resources Limited,https://finance.yahoo.com/chart/SRHYY,0.15,0.00,0.00%,"1,689","4,688",160.139M,-1.01
PSQH,https://finance.yahoo.com/quote/PSQH/,"PSQ Holdings, Inc.",https://finance.yahoo.com/chart/PSQH,4.58,+0.45,+10.90%,2.113M,4.581M,159.838M,--
CRBP,https://finance.yahoo.com/quote/CRBP/,"Corbus Pharmaceuticals Holdings, Inc.",https://finance.yahoo.com/chart/CRBP,13.12,+0.73,+5.89%,"272,793","302,985",159.795M,-4.21
PLX,https://finance.yahoo.com/quote/PLX/,"Protalix BioTherapeutics, Inc.",https://finance.yahoo.com/chart/PLX,2.17,0.00,0.00%,"510,904","449,226",159.785M,--
DOUG,https://finance.yahoo.com/quote/DOUG/,Douglas Elliman Inc.,https://finance.yahoo.com/chart/DOUG,1.79,+0.12,+7.19%,1.133M,"976,370",159.609M,-1.77
PAYS,https://finance.yahoo.com/quote/PAYS/,"Paysign, Inc.",https://finance.yahoo.com/chart/PAYS,2.98,-0.09,-2.93%,"319,386","222,685",159.574M,+26.57
SPE,https://finance.yahoo.com/quote/SPE/,"Special Opportunities Fund, Inc.",https://finance.yahoo.com/chart/SPE,15.01,+0.06,+0.40%,"34,760","50,022",159.529M,+4.92
III,https://finance.yahoo.com/quote/III/,"Information Services Group, Inc.",https://finance.yahoo.com/chart/III,3.25,+0.01,+0.31%,"91,651","104,437",159.485M,-50.51
CZWI,https://finance.yahoo.com/quote/CZWI/,"Citizens Community Bancorp, Inc.",https://finance.yahoo.com/chart/CZWI,15.88,-0.06,-0.38%,"26,075","26,154",159.338M,+10.41
AVBH,https://finance.yahoo.com/quote/AVBH/,"Avidbank Holdings, Inc.",https://finance.yahoo.com/chart/AVBH,20.50,0.00,0.00%,200,"1,488",159.294M,+11.24
CBNA,https://finance.yahoo.com/quote/CBNA/,"Chain Bridge Bancorp, Inc.",https://finance.yahoo.com/chart/CBNA,24.26,+0.16,+0.66%,"55,682","33,200",159.19M,+5.33
TOYO,https://finance.yahoo.com/quote/TOYO/,"TOYO Co., Ltd.",https://finance.yahoo.com/chart/TOYO,3.59,+0.01,+0.28%,"26,716","889,180",159.177M,+3.80
PCELF,https://finance.yahoo.com/quote/PCELF/,PowerCell Sweden AB (publ),https://finance.yahoo.com/chart/PCELF,2.97,0.00,0.00%,200,17,159.061M,-31.74
NEOJF,https://finance.yahoo.com/quote/NEOJF/,NEOJAPAN Inc.,https://finance.yahoo.com/chart/NEOJF,9.67,0.00,0.00%,100,4,158.972M,+24.59
